questao,gabarito,enunciado,alternativas,enem_ano
1,A,"Finally, Aisha finished with her customer and asked what colour Ifemelu wanted for her hair attachments. “Colour four.” “Not good colour,” Aisha said promptly.“That’s what I use.’“It look dirty. You don’t want colour one?”“Colour one is too black, it looks fake,” Ifemelu said, loosening her headwrap. “Sometimes I use colour two, but colour four is closest to my natural colour.” [...] She touched Ifemelu’s hair. “Why you don’t have relaxer?” “I Iike my hair the way God made it.”“But how you comb it? Hard to comb,” Aisha said. Ifemelu had brought her own comb. She gently combed her hair, dense, soft and tightly coiled, until it framed her head like a halo. “It’s not hard to comb if youmoisturize it properly,” she said, slipping into the coaxingtone of the proselytizer that she used whenever she wastrying to convince other black women about the merits ofwearing their hair natural. Aisha snorted; she clearlycould not understand why anybody would choose tosuifer through combing natural hair, instead of simplyrelaxing it. She sectioned out Ifemelu’s hair, plucked alittle attachment from the pile on the table and begandeftly to twist. ADICHIE. C. Americanah: A novel. New York: Anchor Books, 2013. A passagem do romance da escritora nigeriana traz umdiálogo entre duas mulheres negras: a cabeleireira, Aisha,e a cliente, Ifemelu. O posicionamento da cliente ésustentado por argumentos que ","['reforçam um padrão de beleza.', 'retratam um conflito de gerações.', 'revelam uma atitude de resistência.', 'demonstram uma postura de imaturidade.', 'evidenciam uma mudança de comportamento. EENNEEMM -- 11..OODDIIAA-- JJAANNEEIIRROO//22002211']",2020
2,A,"A Minor Bird I have wished a bird would fly away,And not sing by my house all day; Have clapped my hands at him from the door When it seemed as if I could bear no more.The fault must partly have been in me.The bird was not to blame for his key. And of course there must be something wrong In wanting to silence any song. FROST. R. West-running Brook . New York: Henry Holt and Company, 1928: No poema de Robert Frost, as palavras “fault” e “blame” revelam por parte do eu lírico uma ","['culpa por não poder cuidar do pássaro.', 'atitude errada por querer matar o pássaro.', 'necessidade de entender o silêncio do pássaro.', 'sensibilização com relação à natureza do pássaro.', 'irritação quanto à persistência do canto do pássaro. ']",2020
3,E,"A Mother in a Refugee Camp No Madonna and Child could touchHer tenderness for a sonShe soon would have to forget...The air was heavy with odors of diarrhea,Of unwashed children with washed-out ribsAnd dried-up bottoms waddling in labored stepsBehind blown-empty bellies. Other mothers thereHad long ceased to care, but not this one:She held a ghost-smile between her teeth,and in her eyes the memoryOf a mother’s pride... She had bathed himAnd rubbed him down with bare palms.She took from their bundle of possessionsA broken comb and combedThe rust-colored hair left on his skullAnd then — humming in her eyes — began carefully[to part it.In their former life this was perhapsA little daily act of no consequenceBefore his breakfast and school; now she did itLike putting flowers on a tiny grave. ACHEBE, C. Collect Poems. New York: Anchor Books, 2004. O escritor nigeriano Chinua Achebe traz uma reflexão sobre a situação dos refugiados em um cenário pós-guerracivil em seu pais. Essa reflexão é construída no poemapor meio da representação de uma mãe, explorando a(s) ","['demonstração de orgulho por não precisar pedir doações. ', 'descrições artísticas detalhadas de uma obra conhecida. ', 'aceitação de um diagnóstico de doença terminal do filho. ', 'consternação ao visitar o túmulo do filho recém- falecido. ', 'impressões sensoriais experimentadas no ambiente. ']",2020
4,D,"Disponível em: www.csuchico.edu. Acesso em: 11 dez. 2017 Nesse pôster de divulgação de uma campanha que aborda a diversidade e a inclusão, a interação dos elementosverbais e não verbais faz referência ao ato de ","['estereotipar povos de certas culturas.', 'discriminar hábitos de grupos minoritários.', 'banir imigrantes de determinadas origens.', 'julgar padrões de beleza de diversas etnias.', 'desvalorizar costumes de algumas sociedades. ']",2020
5,C,Disponível em: https://sites.psu.edu. Acesso em: l2 jun. 2018. Os recursos usados nesse pôster de divulgação de uma campanha levam o leitor a refletir sobre a necessidade de ,"['criticar o tipo de tratamento dado à mulher.', 'rever o desempenho da mulher no trabalho.', 'questionar a sobrecarga de atribuições da mulher.', 'analisar as pesquisas acerca dos direitos da mulher.', 'censurar a mulher pelo uso de determinadas palavras. ']",2020
1,A,"Los propietarios de la libertad Las palabras cumplen ciclos; las actitudes también. Sin embargo, cuando las palabras designan actitudes, losciclos se vuelven más complejos. Cuando el hoy tandenostado Sartre puso la palabra compromiso sobre el tapete y hasta Mac Leish publicó un libro sobre laresponsabilidad de los intelectuales, estas dos palabras,compromiso y responsabilidad , designaban actitudes que, sin ser gemelas, eran bastante afines. Salvo contadasexcepciones, los intelectuales de entonces los hicieronsuyas y, equivocados o no, dijeron sin eufemismos porqué empeño se la jugaban. Los intelectuales latinoamericanos también comprendieron dónde estaba esta vez el enemigo. Sóloentonces empezó la mala prensa. Los grandes pontíficesde la propaganda subrayaron una y otra vez la palabralibertad y denostaron el compromiso . Libertad no era librarse de Batista o de Somoza, sino mantener la prensalibre. Libertad es la emocionada comprobación de que la gran prensa norteamericana es capaz de descubrir queLumumba o Aliende fueron liquidados por la CIA, sinponer el acento en que eso no sirve para resucitarlos. ¿Y compromiso ? Es la actitud que adoptan ciertos intelectuales, cuya carga ideológica perjudicanotoriamente su arte. Después de todo, ¿cómo se atrevenafrecuentar las provincias del espiritu, si es público ynotorio que tales ámbitos son patrimonio exclusivo de lospropietarios de la Iibertad ? BENEDETTI, M. Perplejidades de fin de siglo . Buenos Aires: Sudamericana, 1993 (adaptado). Transformar palavras em atitudes tem sido um dos grandes dilemas dos intelectuais. Ao ponderar sobre essatemática, o autor, um dos grandes críticos e literatoslatino-americanos da atualidade, leva o leitor a perceberque ","['o compromisso político afasta o artista da criação.', 'os costumes sociais governam a linguagem e as atitudes das pessoas. ', 'o compromisso ideológico de alguns intelectuais está refletido em suas obras. ', 'a complexidade relacionada ao conceito de liberdade impede o compromisso. EENNEEMM -- 11..OODDIIAA-- JJAANNEEIIRROO//22002211', 'os intelectuais latino-americanos têm um posiciona - mento acrítico perante o poder. ']",2020
3,E,"Poco después apareció en casa de Elisenda Morales, arrastrando su cansancio y las contrariedades de un largodía que habla dejado su ánimo en ruínas. A pesar de todo,supo resistirlo, y cuando ella le ofreció una copa demistela, abandonó su asiento para ir hasta la tienda enbusca de algo más estimulante. Allí, en el corredor dela casa, en taburetes separados, recibieron los primeros cálidos soplos de la noche. Con suhabitual entereza, Elisenda entró a conectar la luz de lasala, sofocando parte de su reflejo, mientras comentabaque así estarían mejor. Al menos, pensó el tio Camarillo,no habia sacado la lámpara como otras veces, ni le habíaentregado alguno de sus álbumes, y parecía en cambiodecidida a mantener en ascuas al vecindario. Aquélla fuela primera vez que en mucho tiempo dejaron de lado eltema de las rentas, para entrar con pies de plomo en elespinoso terreno de las confidencias. SÁNCHEZ, H. El héroe de la familia . Bogotá. Tercer Mundo, 1988. No texto, no qual é narrada a visita à casa de uma personagem, a expressão “entrar con pies de plomo” éutilizada para se referir ao(à) ","['determinação para conduzir discussões pessoais.', 'insensibilidade para lidar com temas do passado.', 'discrição para administrar questões financeiras.', 'disposição para resolver problemas familiares.', 'cuidado para tratar de assuntos intimos. ']",2020
4,E,"Oye, Pito, ésta es: la vida bruta de un boy mis tierras eran nuevo méxico, colorado,california, arizona, tejas,y muchos otros senderos,aún cuando la luz existíasonrientementeen las palabrasde mis antepasados... era entonces hombre, maduro y sencillocomo los cerros y los peñascos,y mi cultura era el atole,el chaquehue, y los buenos días;mi idioma cantabaversículospor los cañonesde tierra rojay tierra amarilla... Hoy sí, hoy ya no soy mejicano ni hispanoni tampoco americano,pero soy — y bien lo siento ser — una sombra del pasadoy un esfuerzohacia el futuro... SÁNCHEZ. R. Disponível em: www.materialdelectura.unam.mx. Acesso em: 4 dez. 2017. Ao abordar a expropriação de territórios mexicanos pelosEstados Unidos, o eu lírico do poema revela um(","['rejeição da língua utilizada por seus antepassados.', 'desejo de pertencimento ao espaço estadunidense. ', 'certeza de manutenção de suas tradições.', 'reivindicação de um mundo unificado.', 'sentimento de conflito de identidades. EENNEEMM -- 11..OODDIIAA-- JJAANNEEIIRROO//22002211']",2020
5,E,"La violencia como bella arte Pues bien, ‘Relatos Salvajes’, de Damián Szifrón, es sobre todo un brilhante esfuerzo por poner rostro, por fotografiar, a la parte de la violencia que tanto cuesta veren el cine. De repente, el director argentino coloca laespectador ante el espectáculo, digamos putrefacto, deuna sociedad enferma de su propia indolencia,anestesiada por su ira, incapaz de entender el origen dela insatisfacción que la habita. ¿Cómo se quedan? Sí,estamos delante de la una película vocacionalmenteviolenta, obligadamente salvaje, pero, y sobre todo,deslumbrante en su claridad. Más allá del esplendor sabio de una producción perfecta, lo que más duele, lo que más divierte, lo quemás conmueve es la sensación de reconocimiento. Cadauno de los damnificados, pese a su acento marcadamenteargentino, somos nosotros. O, mejor, cada insultoproferido, y no siempre entendido, es nuestro, en algúnmomento ha salido de nuestra boca. O saldrá. La violencia no es sólo eso que tanto desagrada a los profesionales del buen gusto, a los programadores deópera o a los filósofos de la nada; la violencia, larealmente insoportable, es también una cuestión deactitud, un simple gesto. Y esa violencia está por todaspartes, está dentro. Y Szifrón acierta a retrataria tanfielmente que no queda otra cosa que romper a reír.Aunque sólo sea de simple desesperación. Brillante,magistral incluso. MARTÍNEZ, L. Disponível em: www.elmundo.es. Acesso em: 13 abr. 2015 (adaptado). Nessa resenha crítica acerca do filme Relatos Salvajes , o autor evidencia o ","['cômico como fuga da sociedade diante de situações violentas. ', 'estado de apatia da sociedade perante a violência rotineira do mundo atual. ', 'empecilho para o espectador vivenciar a violência bruta na realidade e na ficção. ', 'sotaque reforçado dos personagens a fim de marcar o espaço do cinema argentino. ', 'autorreconhecimento diante dos diversos tipos de comportamento humano frente à violência. ']",2020
6,C,Disponível em: www.bhaz.com.br. Acesso em: 14 jun. 2018. Essa campanha de conscientização sobre o assédio sofrido pelas mulheres nas ruas constrói-se pelacombinação da linguagem verbal e não verbal. A imagemda mulher com o nariz e a boca cobertos por um lenço éa representação não verbal do( ,"['silêncio imposto às mulheres, que não podem denunciar o assédio sofrido. ', 'metáfora de que as mulheres precisam defender-se do assédio masculino. ', 'constrangimento pelo qual passam as mulheres e sua tentativa de esconderem-se. ', 'necessidade que as mulheres têm de passarem despercebidas para evitar o assédio. ', 'incapacidade de as mulheres protegerem-se da agressão verbal dos assediadores. EENNEEMM -- 11..OODDIIAA-- JJAANNEEIIRROO//22002211']",2020
